prod_id,prod_name,Platform,prod_category,Seller_name,act_price,dis_price,dis_percent,Day of order,State_,cust_review,Seller_name_dup,cust_rating,Festival_Sale,mode_of_pay
PID000022,Tata Tea Premium,Amazon,Grocery,Amazon Prime Store,3218.51,1577.07,51,2024-08-09,Tamil Nadu,Very satisfied — works exactly as described.,Amazon Prime Store,5,None,Credit Card
PID000023,Canon EOS 90D Camera,Flipkart,Electronics,FashionFiesta,14071.55,11257.24,20,2024-11-22,West Bengal,"Received a defective unit, had to return.",FashionFiesta,2,None,Cash on Delivery
PID000024,Boat Bluetooth Speaker,Amazon,Electronics,Cloud Retailer,48456.01,22774.32,53,2025-02-21,Uttar Pradesh,Product matches description but packaging was plain.,Cloud Retailer,3,None,UPI
PID000025,OnePlus 12 5G,Flipkart,Electronics,AutoZone,307.34,218.21,29,2025-07-07,Tamil Nadu,"Great product for the price, will buy again.",AutoZone,5,None,Net Banking
PID000026,Dell Inspiron Laptop,Flipkart,Electronics,HomeEssentials,11041.5,10158.18,8,2026-07-01,Maharashtra,"Arrived earlier than expected, very happy.",HomeEssentials,4,None,Debit Card
PID000027,Decathlon Gym Bag,Amazon,Sports,KitchenCorner,45985.48,28511.0,38,2024-10-15,Maharashtra,"Arrived earlier than expected, very happy.",KitchenCorner,5,GIF,Credit Card
PID000028,Blue Tokai Coffee Beans,Amazon,Grocery,AutoZone,6170.35,3640.51,41,2025-10-05,Maharashtra,Five stars — exceeded my expectations.,AutoZone,5,GIF,Credit Card
PID000029,Dell Inspiron Laptop,Flipkart,Electronics,GroceryKing,12086.56,8460.59,30,2025-10-22,West Bengal,Perfect fit and looks even better in person.,GroceryKing,5,BBD,Wallet
PID000030,Apple iPad Air,Amazon,Electronics,Amazon Prime Store,3848.38,3155.67,18,2024-03-14,Andaman & Nicobar,Fast delivery and superb packaging.,Amazon Prime Store,4,None,Cash on Delivery
PID000031,H&M Summer Dress,Amazon,Fashion,FashionFiesta,22021.59,13433.17,39,2025-11-24,Ladakh,"Not bad, but not great either.",FashionFiesta,3,GIF,Cash on Delivery
PID000032,MuscleBlaze Whey Protein,Amazon,Grocery,HomeEssentials,46601.45,41475.29,11,2024-09-28,Tamil Nadu,"Poor quality, stopped working within a week.",HomeEssentials,2,None,Cash on Delivery
PID000033,HP Pavilion Gaming Laptop,Amazon,Electronics,BookBazaar,35937.09,29468.41,18,2024-04-13,Gujarat,"Satisfactory performance, could be improved.",BookBazaar,3,None,Debit Card
PID000034,Canon EOS 90D Camera,Amazon,Electronics,SportsArena,2395.52,1772.68,26,2026-11-26,Delhi,"Satisfactory performance, could be improved.",SportsArena,3,GIF,Debit Card
PID000035,Lakme 9to5 Lipstick,Flipkart,Beauty,Amazon Prime Store,3947.14,2013.04,49,2026-11-28,Maharashtra,"Feels cheap and flimsy, not recommended.",Amazon Prime Store,2,BF,Debit Card
PID000036,LG 260L Refrigerator,Amazon,Home Appliances,TechWorld,15551.27,6998.07,55,2026-08-13,Sikkim,"Not satisfied, delivery was late and item damaged.",TechWorld,1,None,Credit Card
PID000037,Figaro Olive Oil,Amazon,Grocery,BabyCarePlus,39049.79,15619.92,60,2024-12-01,Chhattisgarh,Five stars — exceeded my expectations.,BabyCarePlus,4,None,Wallet
PID000038,Parker Pen Set,Amazon,Office,FashionFiesta,44094.53,41448.86,6,2024-06-04,Uttarakhand,"Battery life is outstanding, lasts all day.",FashionFiesta,5,None,Debit Card
PID000039,OnePlus 12 5G,Amazon,Electronics,Amazon Prime Store,19250.58,17903.04,7,2026-01-28,Karnataka,"Color/size mismatch, looks different than photos.",Amazon Prime Store,2,None,Wallet
PID000040,Dell Inspiron Laptop,Flipkart,Electronics,BeautyMart,1378.49,1144.15,17,2025-06-13,Nagaland,Perfect fit and looks even better in person.,BeautyMart,4,None,Wallet
PID000041,Casio G-Shock Watch,Flipkart,Fashion,GroceryKing,46974.01,41337.13,12,2024-07-06,Karnataka,Overpriced for the quality offered.,GroceryKing,2,None,Wallet
PID000042,Apple iPhone 14 Pro Max,Flipkart,Electronics,OfficePro,17415.22,7836.85,55,2025-09-02,Ladakh,Five stars — exceeded my expectations.,OfficePro,5,BBD,Credit Card
PID000043,Samsung Galaxy S23 Ultra,Amazon,Electronics,OfficePro,284.23,125.06,56,2024-02-24,Uttar Pradesh,"High quality and durable, highly recommended.",OfficePro,4,None,Credit Card
PID000044,Yonex Nanoray Tennis Racket,Flipkart,Sports,Amazon Prime Store,36043.76,27393.26,24,2026-10-14,Tamil Nadu,Customer support was helpful and responsive.,Amazon Prime Store,4,BBD,Net Banking
PID000045,Canon EOS 90D Camera,Amazon,Electronics,AutoZone,33930.43,28501.56,16,2024-11-15,Uttar Pradesh,Perfect fit and looks even better in person.,AutoZone,4,GIF,Cash on Delivery
PID000046,Dell Inspiron Laptop,Flipkart,Electronics,OfficePro,39330.79,22418.55,43,2025-12-27,West Bengal,Works fine but build feels a bit light.,OfficePro,3,None,Net Banking
PID000047,Steelbird Bike Helmet,Flipkart,Automotive,Flipkart Seller123,14332.56,7596.26,47,2024-12-09,Delhi,"Battery life is outstanding, lasts all day.",Flipkart Seller123,4,None,Wallet
PID000048,Dabur Organic Honey,Amazon,Grocery,BeautyMart,40366.83,34715.47,14,2025-10-08,Ladakh,"High quality and durable, highly recommended.",BeautyMart,5,GIF,UPI
PID000049,Atomic Habits,Amazon,Books,BookBazaar,35973.63,25541.28,29,2025-10-22,Delhi,"High quality and durable, highly recommended.",BookBazaar,4,GIF,Net Banking
PID000050,Leather Seat Cover,Amazon,Automotive,BeautyMart,8959.16,4569.17,49,2024-10-07,Gujarat,"Excellent product, great value for money.",BeautyMart,4,GIF,Wallet
PID000051,NCERT Physics Textbook,Amazon,Books,GadgetGalaxy,33445.37,20067.22,40,2026-11-30,Telangana,"Great product for the price, will buy again.",GadgetGalaxy,4,GIF,Net Banking
PID000052,Ergonomic Office Chair,Flipkart,Office,GadgetGalaxy,44880.96,21542.86,52,2026-06-16,Tamil Nadu,"Battery drains quickly, disappointed.",GadgetGalaxy,2,None,Credit Card
PID000053,Leather Seat Cover,Flipkart,Automotive,BeautyMart,13874.95,12626.2,9,2026-10-29,Tamil Nadu,Decent for occasional use.,BeautyMart,3,BBD,Debit Card
PID000054,OnePlus 12 5G,Amazon,Electronics,BeautyMart,19275.16,16576.64,14,2026-10-30,West Bengal,"Okay product, nothing special.",BeautyMart,3,GIF,Debit Card
PID000055,Philips Mixer Grinder HL7756,Flipkart,Home Appliances,BookBazaar,41677.98,29591.37,29,2025-10-25,Chandigarh,Will not buy from this seller again.,BookBazaar,2,BBD,Credit Card
PID000056,Penguin Classic Novel,Flipkart,Books,BabyCarePlus,15070.91,10700.35,29,2026-10-20,Gujarat,Customer support was unhelpful and slow.,BabyCarePlus,2,BBD,Net Banking
PID000057,NCERT Physics Textbook,Amazon,Books,SportsArena,21904.63,20590.35,6,2024-05-20,Jharkhand,Customer support was helpful and responsive.,SportsArena,4,None,Cash on Delivery
PID000058,Reebok Yoga Mat,Amazon,Sports,Cloud Retailer,45365.06,26311.73,42,2024-10-13,Delhi,"Excellent product, great value for money.",Cloud Retailer,4,GIF,Debit Card
PID000059,Samsung Galaxy S23 Ultra,Flipkart,Electronics,SportsArena,19079.37,15645.08,18,2024-03-10,Himachal Pradesh,"Battery life is outstanding, lasts all day.",SportsArena,4,None,Debit Card
PID000060,Apple iPhone 14 Pro Max,Flipkart,Electronics,StyleStreet,1165.29,710.83,39,2024-12-23,Karnataka,"Battery life is outstanding, lasts all day.",StyleStreet,5,None,Credit Card
PID000061,Philips Car Vacuum,Amazon,Automotive,BeautyMart,10128.16,9520.47,6,2025-03-29,Delhi,"High quality and durable, highly recommended.",BeautyMart,4,None,Net Banking
PID000062,Indian Vegetarian Cookbook,Amazon,Books,SportsArena,38391.53,32632.8,15,2024-11-22,Uttarakhand,Very satisfied — works exactly as described.,SportsArena,4,GIF,Credit Card
PID000063,JBL Flip 6 Speaker,Flipkart,Electronics,Cloud Retailer,46458.58,27410.56,41,2026-09-02,Uttar Pradesh,"Size and color as shown, no surprises.",Cloud Retailer,3,BBD,Net Banking
PID000064,Cosco Dumbbells,Amazon,Sports,BeautyMart,5274.69,2426.36,54,2025-02-06,Tripura,Five stars — exceeded my expectations.,BeautyMart,5,None,Net Banking
PID000065,Casio G-Shock Watch,Amazon,Fashion,BabyCarePlus,3634.05,1962.39,46,2024-11-26,Manipur,Customer support was helpful and responsive.,BabyCarePlus,5,GIF,Credit Card
PID000066,Everest Masala Pack,Flipkart,Grocery,ElectroHub,21887.26,10724.76,51,2025-09-26,Telangana,Perfect fit and looks even better in person.,ElectroHub,4,BBD,Wallet
PID000067,Atomic Habits,Flipkart,Books,SportsArena,16250.77,13000.62,20,2024-08-04,Tamil Nadu,"Okay product, nothing special.",SportsArena,3,None,UPI
PID000068,Reebok Yoga Mat,Flipkart,Sports,AutoZone,16952.55,10849.63,36,2026-07-27,West Bengal,"Poor quality, stopped working within a week.",AutoZone,2,None,Debit Card
PID000069,H&M Summer Dress,Flipkart,Fashion,SportsArena,27878.39,17284.6,38,2024-04-24,Karnataka,"Received a defective unit, had to return.",SportsArena,2,None,Debit Card
PID000070,Teddy Bear Plush,Amazon,Toys,StyleStreet,22519.09,21167.94,6,2026-12-18,Uttar Pradesh,"High quality and durable, highly recommended.",StyleStreet,5,None,Credit Card
PID000071,Oxford English Dictionary,Flipkart,Books,KitchenCorner,17319.12,8313.18,52,2026-06-11,Odisha,"Battery life is outstanding, lasts all day.",KitchenCorner,4,None,Debit Card
PID000072,Apple iPhone 14 Pro Max,Flipkart,Electronics,BookBazaar,15914.29,7638.86,52,2024-09-21,Karnataka,Fast delivery and superb packaging.,BookBazaar,4,BBD,Net Banking
PID000073,Chicco Baby Stroller,Flipkart,Toys,KitchenCorner,29920.18,26628.96,11,2024-01-09,Karnataka,"Satisfactory performance, could be improved.",KitchenCorner,3,None,Credit Card
PID000074,Chicco Baby Stroller,Amazon,Toys,ElectroHub,13860.7,12751.84,8,2026-08-25,Rajasthan,Fast delivery and superb packaging.,ElectroHub,4,None,Net Banking
PID000075,Classmate Notebook,Amazon,Office,HomeEssentials,23575.97,15795.9,33,2026-03-05,Tamil Nadu,"Excellent product, great value for money.",HomeEssentials,5,None,Cash on Delivery
PID000076,Classmate Notebook,Amazon,Office,AutoZone,24688.98,14566.5,41,2026-04-09,Delhi,"Excellent product, great value for money.",AutoZone,4,None,Cash on Delivery
PID000077,Dell Inspiron Laptop,Flipkart,Electronics,Amazon Prime Store,27992.04,19314.51,31,2026-06-10,Karnataka,Five stars — exceeded my expectations.,Amazon Prime Store,4,None,UPI
PID000078,Marvel Avengers Comic,Flipkart,Books,OfficePro,15407.94,8628.45,44,2024-04-23,Chandigarh,Very satisfied — works exactly as described.,OfficePro,5,None,Credit Card
PID000079,Apple iPhone 14 Pro Max,Amazon,Electronics,FashionFiesta,12145.29,7287.17,40,2025-02-09,Uttar Pradesh,"Excellent product, great value for money.",FashionFiesta,5,None,Net Banking
PID000080,Samsung Galaxy S23 Ultra,Flipkart,Electronics,BeautyMart,14547.62,11201.67,23,2024-06-26,Maharashtra,Works fine but build feels a bit light.,BeautyMart,3,None,Credit Card
PID000081,Steelbird Bike Helmet,Flipkart,Automotive,OfficePro,5915.86,4791.85,19,2026-09-20,Manipur,Perfect fit and looks even better in person.,OfficePro,4,BBD,Credit Card
PID000082,Mi Fast Car Charger,Amazon,Automotive,HomeEssentials,22069.84,14566.09,34,2025-11-27,Chandigarh,"Size and color as shown, no surprises.",HomeEssentials,3,GIF,UPI
PID000083,Penguin Classic Novel,Flipkart,Books,TechWorld,44493.26,21356.76,52,2024-12-29,Maharashtra,Perfect fit and looks even better in person.,TechWorld,5,None,Credit Card
PID000084,Mi Fast Car Charger,Amazon,Automotive,TechWorld,38202.83,32090.38,16,2024-04-11,Mizoram,"Great product for the price, will buy again.",TechWorld,4,None,Credit Card
PID000085,Everest Masala Pack,Flipkart,Grocery,Flipkart Seller123,23606.52,16288.5,31,2024-12-08,Nagaland,Very satisfied — works exactly as described.,Flipkart Seller123,5,None,Debit Card
PID000086,Canon EOS 90D Camera,Flipkart,Electronics,TechWorld,22850.33,17137.75,25,2024-12-23,Jammu & Kashmir,Very satisfied — works exactly as described.,TechWorld,5,None,Debit Card
PID000087,MuscleBlaze Whey Protein,Amazon,Grocery,GadgetGalaxy,20779.73,17247.18,17,2026-04-10,Himachal Pradesh,Five stars — exceeded my expectations.,GadgetGalaxy,4,None,UPI
PID000088,HP Pavilion Gaming Laptop,Amazon,Electronics,ElectroHub,46398.1,31086.73,33,2025-11-30,Delhi,"Battery drains quickly, disappointed.",ElectroHub,2,GIF,Wallet
PID000089,Hot Wheels Racing Car,Amazon,Toys,HomeEssentials,27631.78,16579.07,40,2026-10-26,Ladakh,"High quality and durable, highly recommended.",HomeEssentials,4,GIF,Wallet
PID000090,OnePlus 12 5G,Flipkart,Electronics,StyleStreet,46646.12,35917.51,23,2025-08-01,West Bengal,Perfect fit and looks even better in person.,StyleStreet,4,None,UPI
PID000091,Apple iPad Air,Flipkart,Electronics,ElectroHub,19302.58,11002.47,43,2024-07-02,Nagaland,Fast delivery and superb packaging.,ElectroHub,4,None,Debit Card
PID000092,H&M Summer Dress,Flipkart,Fashion,Cloud Retailer,14285.38,10856.89,24,2026-03-13,Ladakh,"Not bad, but not great either.",Cloud Retailer,3,None,UPI
PID000093,Oxford English Dictionary,Amazon,Books,StyleStreet,17387.17,10432.3,40,2026-05-30,West Bengal,"Size and color as shown, no surprises.",StyleStreet,3,None,Debit Card
PID000094,Hot Wheels Racing Car,Amazon,Toys,AutoZone,11831.41,5442.45,54,2025-10-30,Chhattisgarh,"Battery life is outstanding, lasts all day.",AutoZone,4,GIF,Net Banking
PID000095,Prestige Electric Kettle,Flipkart,Home Appliances,ElectroHub,24867.37,23126.65,7,2026-06-09,Uttar Pradesh,Five stars — exceeded my expectations.,ElectroHub,5,None,Credit Card
PID000096,Boat Bluetooth Speaker,Flipkart,Electronics,GadgetGalaxy,964.31,829.31,14,2025-09-01,Maharashtra,Fast delivery and superb packaging.,GadgetGalaxy,4,BBD,Net Banking
PID000097,Casio G-Shock Watch,Flipkart,Fashion,Flipkart Seller123,42617.91,17473.34,59,2025-09-16,Uttar Pradesh,"Delivery was on time, product is acceptable.",Flipkart Seller123,3,BBD,Debit Card
PID000098,Ergonomic Office Chair,Flipkart,Office,TechWorld,30949.48,24759.58,20,2025-05-24,Ladakh,Perfect fit and looks even better in person.,TechWorld,4,None,Net Banking
PID000099,Apple iPhone 14 Pro Max,Flipkart,Electronics,GadgetGalaxy,8484.97,6448.58,24,2024-02-09,Tamil Nadu,"Not satisfied, delivery was late and item damaged.",GadgetGalaxy,2,None,Credit Card
PID000100,Casio G-Shock Watch,Flipkart,Fashion,ElectroHub,12361.03,8529.11,31,2024-06-14,Karnataka,Fast delivery and superb packaging.,ElectroHub,4,None,Credit Card
PID000101,Cosco Dumbbells,Flipkart,Sports,BeautyMart,24983.83,14490.62,42,2024-02-18,Rajasthan,"Great product for the price, will buy again.",BeautyMart,5,None,UPI
PID000102,Leather Seat Cover,Amazon,Automotive,HomeEssentials,33945.02,28853.27,15,2025-11-30,Ladakh,"Battery life is outstanding, lasts all day.",HomeEssentials,5,GIF,Debit Card
PID000103,Fisher-Price Learning Toy,Flipkart,Toys,GadgetGalaxy,42296.14,35105.8,17,2024-12-12,Delhi,"Battery drains quickly, disappointed.",GadgetGalaxy,1,None,Debit Card
PID000104,Yonex Nanoray Tennis Racket,Flipkart,Sports,HomeEssentials,1292.59,542.89,58,2025-09-09,Maharashtra,"Satisfactory performance, could be improved.",HomeEssentials,3,BBD,Cash on Delivery
PID000105,Cosco Dumbbells,Amazon,Sports,StyleStreet,41675.38,32090.04,23,2026-11-06,Telangana,Decent for occasional use.,StyleStreet,3,GIF,Debit Card
PID000106,Yonex Nanoray Tennis Racket,Amazon,Sports,ElectroHub,31486.76,17317.72,45,2024-11-10,Goa,Perfect fit and looks even better in person.,ElectroHub,4,GIF,Credit Card
PID000107,Hot Wheels Racing Car,Flipkart,Toys,Flipkart Seller123,45499.47,34124.6,25,2025-04-28,Karnataka,Product matches description but packaging was plain.,Flipkart Seller123,3,None,Net Banking
PID000108,Forest Essentials Perfume,Flipkart,Beauty,SportsArena,41557.54,32830.46,21,2026-05-17,Jammu & Kashmir,"Battery drains quickly, disappointed.",SportsArena,2,None,Debit Card
PID000109,Philips Car Vacuum,Flipkart,Automotive,GadgetGalaxy,48152.09,41410.8,14,2024-10-06,Nagaland,Decent for occasional use.,GadgetGalaxy,3,BBD,Net Banking
PID000110,Ergonomic Office Chair,Flipkart,Office,BabyCarePlus,4697.08,3287.96,30,2024-04-28,Delhi,"Arrived earlier than expected, very happy.",BabyCarePlus,5,None,Debit Card
PID000111,Decathlon Gym Bag,Flipkart,Sports,BabyCarePlus,5595.64,4532.47,19,2024-11-18,Arunachal Pradesh,Five stars — exceeded my expectations.,BabyCarePlus,4,None,UPI
PID000112,Figaro Olive Oil,Amazon,Grocery,GadgetGalaxy,45487.5,34570.5,24,2024-09-13,Delhi,Very satisfied — works exactly as described.,GadgetGalaxy,4,None,Wallet
PID000113,Penguin Classic Novel,Flipkart,Books,Amazon Prime Store,11893.04,7254.75,39,2026-10-24,Uttar Pradesh,"Great product for the price, will buy again.",Amazon Prime Store,5,BBD,Wallet
PID000114,Cosco Dumbbells,Flipkart,Sports,ElectroHub,44293.61,23918.55,46,2026-08-05,Telangana,"Great product for the price, will buy again.",ElectroHub,5,None,Wallet
PID000115,Sony WH-1000XM5 Headphones,Flipkart,Electronics,BookBazaar,22280.48,17824.38,20,2025-11-29,Jammu & Kashmir,"Received a defective unit, had to return.",BookBazaar,2,BF,Debit Card
PID000116,Canon EOS 90D Camera,Flipkart,Electronics,SportsArena,9652.47,8494.17,12,2026-09-24,Delhi,"Battery drains quickly, disappointed.",SportsArena,2,BBD,Credit Card
PID000117,Sony WH-1000XM5 Headphones,Amazon,Electronics,BeautyMart,49443.28,22249.48,55,2026-08-06,Manipur,Very satisfied — works exactly as described.,BeautyMart,4,None,UPI
PID000118,Parker Pen Set,Amazon,Office,GroceryKing,38763.56,17443.6,55,2024-10-08,Tamil Nadu,"Not satisfied, delivery was late and item damaged.",GroceryKing,2,GIF,Wallet
PID000119,L'Oreal Paris Shampoo,Amazon,Beauty,FashionFiesta,5674.33,2269.73,60,2026-10-29,Uttar Pradesh,"Excellent product, great value for money.",FashionFiesta,5,GIF,Net Banking
PID000120,OnePlus 12 5G,Flipkart,Electronics,SportsArena,2809.47,1348.55,52,2025-09-25,Chhattisgarh,Very satisfied — works exactly as described.,SportsArena,4,BBD,UPI
PID000121,Forest Essentials Perfume,Flipkart,Beauty,Amazon Prime Store,22709.87,18394.99,19,2026-08-04,Jharkhand,"Not satisfied, delivery was late and item damaged.",Amazon Prime Store,2,None,Wallet
PID000122,Indian Vegetarian Cookbook,Flipkart,Books,Cloud Retailer,3229.11,2098.92,35,2026-10-07,Bihar,"Size and color as shown, no surprises.",Cloud Retailer,3,BBD,UPI
PID000123,Apple iPhone 14 Pro Max,Flipkart,Electronics,GroceryKing,30493.21,27748.82,9,2024-12-15,Rajasthan,Five stars — exceeded my expectations.,GroceryKing,5,None,UPI
PID000124,Kent RO Water Purifier,Flipkart,Home Appliances,KitchenCorner,14885.91,9378.12,37,2024-06-17,Goa,Very satisfied — works exactly as described.,KitchenCorner,4,None,Credit Card
PID000125,Dyson V11 Vacuum Cleaner,Amazon,Home Appliances,BeautyMart,20807.92,8947.41,57,2024-10-30,Jharkhand,Customer support was helpful and responsive.,BeautyMart,4,GIF,Debit Card
PID000126,Dabur Organic Honey,Flipkart,Grocery,BabyCarePlus,47688.91,24798.23,48,2025-05-24,Delhi,"Received a defective unit, had to return.",BabyCarePlus,2,None,Credit Card
PID000127,Sony WH-1000XM5 Headphones,Flipkart,Electronics,ElectroHub,27907.26,16186.21,42,2026-08-21,Uttar Pradesh,"Feels cheap and flimsy, not recommended.",ElectroHub,1,None,Credit Card
PID000128,HP Printer Ink,Flipkart,Office,TechWorld,48426.25,27602.96,43,2026-09-19,Punjab,Very satisfied — works exactly as described.,TechWorld,5,BBD,Credit Card
PID000129,Apple iPhone 14 Pro Max,Flipkart,Electronics,BabyCarePlus,42299.6,30455.71,28,2024-01-11,Punjab,Perfect fit and looks even better in person.,BabyCarePlus,5,None,Cash on Delivery
PID000130,Cosco Dumbbells,Amazon,Sports,SportsArena,1641.87,1280.66,22,2025-10-03,Andaman & Nicobar,"Satisfactory performance, could be improved.",SportsArena,3,GIF,Debit Card
PID000131,Parker Pen Set,Amazon,Office,AutoZone,3665.35,1759.37,52,2025-05-13,Delhi,"Excellent product, great value for money.",AutoZone,4,None,UPI
PID000132,Dyson V11 Vacuum Cleaner,Flipkart,Home Appliances,GroceryKing,8038.98,6109.62,24,2024-10-03,Kerala,"Not bad, but not great either.",GroceryKing,3,BBD,Cash on Delivery
PID000133,JBL Flip 6 Speaker,Amazon,Electronics,TechWorld,33763.64,26335.64,22,2024-07-09,West Bengal,Customer support was helpful and responsive.,TechWorld,4,None,Debit Card
PID000134,Boat Bluetooth Speaker,Flipkart,Electronics,Amazon Prime Store,17389.61,15302.86,12,2025-01-06,West Bengal,Five stars — exceeded my expectations.,Amazon Prime Store,5,None,Net Banking
PID000135,Canon EOS 90D Camera,Amazon,Electronics,TechWorld,582.82,442.94,24,2026-11-25,Himachal Pradesh,"Poor quality, stopped working within a week.",TechWorld,2,GIF,Debit Card
PID000136,Apple iPad Air,Amazon,Electronics,OfficePro,8949.6,6354.22,29,2024-12-20,Gujarat,"High quality and durable, highly recommended.",OfficePro,4,None,Cash on Delivery
PID000137,Canon EOS 90D Camera,Flipkart,Electronics,TechWorld,21923.74,14469.67,34,2025-09-14,Punjab,Packaging was damaged and parts missing.,TechWorld,2,BBD,UPI
PID000138,Apple iPhone 14 Pro Max,Flipkart,Electronics,AutoZone,1238.66,929.0,25,2026-02-25,West Bengal,Five stars — exceeded my expectations.,AutoZone,5,None,Net Banking
PID000139,Canon EOS 90D Camera,Flipkart,Electronics,Amazon Prime Store,12317.16,7143.95,42,2025-02-15,Uttar Pradesh,Very satisfied — works exactly as described.,Amazon Prime Store,4,None,Debit Card
PID000140,Sony WH-1000XM5 Headphones,Flipkart,Electronics,FashionFiesta,4003.69,2202.03,45,2026-12-03,Karnataka,"Arrived earlier than expected, very happy.",FashionFiesta,5,None,Net Banking
PID000141,Barbie Dreamhouse,Flipkart,Toys,ElectroHub,11966.19,10290.92,14,2026-11-26,Kerala,Fast delivery and superb packaging.,ElectroHub,5,BF,Net Banking
PID000142,Apple iPad Air,Amazon,Electronics,GadgetGalaxy,37771.4,17752.56,53,2024-11-12,Madhya Pradesh,Five stars — exceeded my expectations.,GadgetGalaxy,4,GIF,Wallet
PID000143,Philips Desk Lamp,Flipkart,Office,ElectroHub,22100.19,14365.12,35,2025-09-03,Goa,Perfect fit and looks even better in person.,ElectroHub,4,BBD,UPI
PID000144,Lakme 9to5 Lipstick,Flipkart,Beauty,HomeEssentials,23194.78,21571.15,7,2024-11-29,Maharashtra,Perfect fit and looks even better in person.,HomeEssentials,5,BF,Cash on Delivery
PID000145,Reebok Yoga Mat,Amazon,Sports,KitchenCorner,19347.23,11221.39,42,2024-11-26,West Bengal,"Excellent product, great value for money.",KitchenCorner,4,GIF,Cash on Delivery
